theta,xi,yi,xc,yc,xo,yo,xb,yb,xct,yct,xot,yot,energy
1.5327,0.0000,0.0000,0.0380,0.9993,0.2351,1.0336,1.0000,0.2000,-0.0134,1.2948,0.2135,1.7404,8.4179
1.5337,0.0000,0.0000,0.0370,0.9993,0.2342,1.0328,1.0000,0.2000,-0.0132,1.2951,0.2156,1.7397,8.4119
1.5347,0.0000,0.0000,0.0360,0.9994,0.2334,1.0320,1.0000,0.2000,-0.0130,1.2953,0.2177,1.7389,8.4059
1.5357,0.0000,0.0000,0.0350,0.9994,0.2325,1.0312,1.0000,0.2000,-0.0127,1.2956,0.2198,1.7382,8.3999
1.5367,0.0000,0.0000,0.0340,0.9994,0.2316,1.0304,1.0000,0.2000,-0.0125,1.2958,0.2219,1.7375,8.3938
1.5377,0.0000,0.0000,0.0330,0.9995,0.2308,1.0296,1.0000,0.2000,-0.0122,1.2960,0.2240,1.7367,8.3878
1.5387,0.0000,0.0000,0.0320,0.9995,0.2299,1.0288,1.0000,0.2000,-0.0119,1.2962,0.2262,1.7359,8.3817
1.5397,0.0000,0.0000,0.0310,0.9995,0.2290,1.0280,1.0000,0.2000,-0.0117,1.2965,0.2283,1.7351,8.3756
1.5407,0.0000,0.0000,0.0300,0.9995,0.2281,1.0272,1.0000,0.2000,-0.0114,1.2967,0.2305,1.7343,8.3695
1.5417,0.0000,0.0000,0.0290,0.9996,0.2272,1.0263,1.0000,0.2000,-0.0111,1.2969,0.2327,1.7334,8.3633
1.5427,0.0000,0.0000,0.0280,0.9996,0.2264,1.0255,1.0000,0.2000,-0.0108,1.2971,0.2348,1.7326,8.3572
1.5437,0.0000,0.0000,0.0270,0.9996,0.2255,1.0247,1.0000,0.2000,-0.0105,1.2973,0.2370,1.7317,8.3510
1.5447,0.0000,0.0000,0.0260,0.9997,0.2246,1.0238,1.0000,0.2000,-0.0102,1.2975,0.2392,1.7308,8.3448
1.5457,0.0000,0.0000,0.0250,0.9997,0.2237,1.0230,1.0000,0.2000,-0.0099,1.2976,0.2414,1.7299,8.3386
1.5467,0.0000,0.0000,0.0240,0.9997,0.2228,1.0222,1.0000,0.2000,-0.0096,1.2978,0.2436,1.7290,8.3324
1.5477,0.0000,0.0000,0.0230,0.9997,0.2219,1.0213,1.0000,0.2000,-0.0093,1.2980,0.2458,1.7280,8.3261
1.5487,0.0000,0.0000,0.0220,0.9998,0.2210,1.0204,1.0000,0.2000,-0.0090,1.2981,0.2481,1.7270,8.3199
1.5497,0.0000,0.0000,0.0210,0.9998,0.2201,1.0196,1.0000,0.2000,-0.0086,1.2983,0.2503,1.7260,8.3136
1.5507,0.0000,0.0000,0.0200,0.9998,0.2191,1.0187,1.0000,0.2000,-0.0083,1.2985,0.2525,1.7250,8.3073
1.5517,0.0000,0.0000,0.0190,0.9998,0.2182,1.0178,1.0000,0.2000,-0.0080,1.2986,0.2548,1.7240,8.3010
1.5527,0.0000,0.0000,0.0180,0.9998,0.2173,1.0169,1.0000,0.2000,-0.0076,1.2987,0.2571,1.7229,8.2946
1.5537,0.0000,0.0000,0.0170,0.9999,0.2164,1.0161,1.0000,0.2000,-0.0073,1.2989,0.2593,1.7219,8.2883
1.5547,0.0000,0.0000,0.0160,0.9999,0.2155,1.0152,1.0000,0.2000,-0.0069,1.2990,0.2616,1.7208,8.2819
1.5557,0.0000,0.0000,0.0150,0.9999,0.2145,1.0143,1.0000,0.2000,-0.0065,1.2991,0.2639,1.7196,8.2755
1.5567,0.0000,0.0000,0.0140,0.9999,0.2136,1.0134,1.0000,0.2000,-0.0061,1.2992,0.2662,1.7185,8.2691
1.5577,0.0000,0.0000,0.0130,0.9999,0.2127,1.0125,1.0000,0.2000,-0.0058,1.2993,0.2686,1.7173,8.2626
1.5587,0.0000,0.0000,0.0120,0.9999,0.2117,1.0115,1.0000,0.2000,-0.0054,1.2994,0.2709,1.7162,8.2562
1.5597,0.0000,0.0000,0.0110,0.9999,0.2108,1.0106,1.0000,0.2000,-0.0050,1.2995,0.2732,1.7150,8.2497
